throttle,load
0.000,-0.0064
0.050,-0.0069
0.100,0.0089
0.150,0.0190
0.200,0.0330
0.250,0.0507
0.300,0.0641
0.350,0.0852
0.400,0.1054
0.450,0.1278
0.500,0.1502
0.550,0.1770
0.600,0.2015
0.650,0.2288
0.700,0.2567
0.750,0.2831
0.800,0.3117
0.850,0.3357
0.900,0.3603
0.950,0.3839
1.000,0.4116
